MONTH,DAY_OF_MONTH,ORIGIN,DEST,DEP_DELAY
04,30,SEA,ANC,9.8
04,30,SEA,DEN,1.3111111111111111
04,30,SEA,DFW,22.464285714285715
04,30,SEA,LAS,4.038461538461538
04,30,SEA,LAX,8.253333333333334
04,30,SEA,ORD,-0.3125
04,30,SEA,PDX,-0.09523809523809523
04,30,SEA,PHX,-2.872340425531915
04,30,SEA,SFO,15.338709677419354
04,30,SEA,SJC,8.323529411764707
05,01,SEA,ANC,6.254901960784314
05,01,SEA,DEN,8.215686274509803
05,01,SEA,DFW,0.4666666666666667
05,01,SEA,LAS,0.22641509433962265
05,01,SEA,LAX,14.211764705882352
05,01,SEA,ORD,6.742857142857143
05,01,SEA,PDX,5.869565217391305
05,01,SEA,PHX,2.94
05,01,SEA,SFO,3.5205479452054793
05,01,SEA,SJC,-1.027027027027027
05,02,SEA,ANC,2.0392156862745097
05,02,SEA,DEN,-1.64
05,02,SEA,DFW,-2.3666666666666667
05,02,SEA,LAS,2.3461538461538463
05,02,SEA,LAX,3.0533333333333332
05,02,SEA,ORD,-2.411764705882353
05,02,SEA,PDX,-0.9090909090909091
05,02,SEA,PHX,0.9
05,02,SEA,SFO,-1.5223880597014925
05,02,SEA,SJC,-3.4857142857142858
05,03,SEA,ANC,4.0588235294117645
05,03,SEA,DEN,1.8627450980392157
05,03,SEA,DFW,-2.3333333333333335
05,03,SEA,LAS,-1.02
05,03,SEA,LAX,4.105263157894737
05,03,SEA,ORD,-3.9714285714285715
05,03,SEA,PDX,-0.43478260869565216
05,03,SEA,PHX,-2.0408163265306123
05,03,SEA,SFO,2.0714285714285716
05,03,SEA,SJC,0.5135135135135135
05,04,SEA,ANC,15.092592592592593
05,04,SEA,DEN,9.764705882352942
05,04,SEA,DFW,1.8666666666666667
05,04,SEA,LAS,5.745098039215686
05,04,SEA,LAX,10.929411764705883
05,04,SEA,ORD,1.75
05,04,SEA,PDX,25.565217391304348
05,04,SEA,PHX,3.510204081632653
05,04,SEA,SFO,13.710526315789474
05,04,SEA,SJC,3.72972972972973
05,05,SEA,ANC,3.0576923076923075
05,05,SEA,DEN,9.056603773584905
05,05,SEA,DFW,2.65625
05,05,SEA,LAS,2.4150943396226414
05,05,SEA,LAX,9.581395348837209
05,05,SEA,ORD,2.3333333333333335
05,05,SEA,PDX,12.434782608695652
05,05,SEA,PHX,0
05,05,SEA,SFO,14.36111111111111
05,05,SEA,SJC,-1.2702702702702702
05,06,SEA,ANC,1.3148148148148149
05,06,SEA,DEN,0.44
05,06,SEA,DFW,-0.3125
05,06,SEA,LAS,8.307692307692308
05,06,SEA,LAX,5.076923076923077
05,06,SEA,ORD,7
05,06,SEA,PDX,-2.238095238095238
05,06,SEA,PHX,0.7708333333333334
05,06,SEA,SFO,5.75
05,06,SEA,SJC,3.914285714285714
05,07,SEA,ANC,4.277777777777778
05,07,SEA,DEN,-1.4
05,07,SEA,DFW,1.90625
05,07,SEA,LAS,9.941176470588236
05,07,SEA,LAX,13.935897435897436
05,07,SEA,ORD,5.923076923076923
05,07,SEA,PDX,-3.9
05,07,SEA,PHX,-1.3333333333333333
05,07,SEA,SFO,5.2153846153846155
05,07,SEA,SJC,5.7272727272727275
05,08,SEA,ANC,-0.07407407407407407
05,08,SEA,DEN,7.545454545454546
05,08,SEA,DFW,-2.8125
05,08,SEA,LAS,-0.18867924528301888
05,08,SEA,LAX,6.988372093023256
05,08,SEA,ORD,-2.325
05,08,SEA,PDX,5.260869565217392
05,08,SEA,PHX,0.4
05,08,SEA,SFO,3.486111111111111
05,08,SEA,SJC,4.054054054054054
05,09,SEA,ANC,2.9272727272727272
05,09,SEA,DEN,5.58
05,09,SEA,DFW,6.65625
05,09,SEA,LAS,-2.72
05,09,SEA,LAX,15.283783783783784
05,09,SEA,ORD,-0.7560975609756098
05,09,SEA,PDX,0.8181818181818182
05,09,SEA,PHX,4.862745098039215
05,09,SEA,SFO,2.7941176470588234
