"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-20","6.71",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","53","H,,S","63",",,W","43",",,W","  240",",,W","  250",",,W","16.1",",,W","21.0",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-21","12.75",",,W","0.03",",,W,2400","0.0",",,W","0.0",",,W","51","H,,S","56",",,W","45",",,W","  190",",,W","  210",",,W","23.9",",,W","29.1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-22","9.62",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","50","H,,S","59",",,W","44",",,W","   40",",,W","  340",",,W","17.0",",,W","21.0",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-23","11.41",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","53","H,,S","69",",,W","41",",,W","  340",",,W","  350",",,W","23.0",",,W","27.1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-24","11.18",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","63","H,,S","77",",,W","49",",,W","   10",",,W","   10",",,W","21.0",",,W","23.9",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-25","10.51",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","63","H,,S","75",",,W","51",",,W","   30",",,W","   30",",,W","18.1",",,W","21.9",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-26","8.28",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","65","H,,S","82",",,W","51",",,W","  350",",,W","  350",",,W","16.1",",,W","18.1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-27","10.96",",,W","0.01",",,W,2400","0.0",",,W","0.0",",,W","58","H,,S","58",",,W","49",",,W","  220",",,W","  210",",,W","23.9",",,W","29.1",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-28","8.05",",,W","0.31",",,W,2400","0.0",",,W","0.0",",,W","51","H,,S","55",",,W","47",",,W","  210",",,W","  210",",,W","15.0",",,W","19.0",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-29","9.84",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","52","H,,S","61",",,W","46",",,W","  220",",,W","  220",",,W","16.1",",,W","19.9",",,W",,
